pergunta,resposta
Como vai você?,Tudo bem obrigado. E você?
Como está o tempo?,Está fazendo sol hoje.
O que você está fazendo?,Estou trabalhando no meu computador.
Você gosta de filmes?,Sim eu adoro.
Qual é o seu filme favorito?,O meu filme favorito é O Senhor dos Anéis.
Você gosta de música?,Sim eu adoro.
Qual é o seu cantor favorito?,O meu cantor favorito é Adele.
Você gosta de esportes?,Sim eu adoro.
Qual é o seu time favorito?,O meu time favorito é o Flamengo.
Onde você mora?,Eu moro em São Paulo.
Qual é o seu trabalho?,Eu sou programador.
Qual é a sua comida favorita?,Eu amo pizza.
Qual é o seu animal de estimação?,Eu tenho um cachorro chamado Rex.
Qual é a sua cor favorita?,A minha cor favorita é azul.
Qual é o seu número favorito?,O meu número favorito é 7.
Qual é o seu feriado favorito?,O meu feriado favorito é o Natal.
Qual é a sua viagem dos sonhos?,Eu sonho em viajar para a Europa.
O que você faz no seu tempo livre?,Gosto de ler assistir filmes e sair com amigos.
O que você gosta de fazer em férias?,Gosto de viajar conhecer novos lugares e experimentar novas culturas.
Qual é o seu objetivo na vida?,Quero ser feliz e fazer a diferença no mundo.
O que você mais gosta de fazer?,Gosto de aprender coisas novas e me desafiar.
Qual é a coisa mais importante para você?,A minha família e os meus amigos.
O que você mais valoriza?,A honestidade a integridade e a bondade.
O que você mais teme?,O fracasso e a solidão.
O que você mais ama?,A vida e as oportunidades que ela me oferece.
